Case Number,LADBS Inspection District,Address House Number,Address House Fraction Number,Address Street Direction,Address Street Name,Address Street Suffix,Address Street Suffix Direction,Address Zip,Date Case Generated,Date Case Closed,Parcel Identification Number (PIN),Case Type,Area Planning Commission (APC),Status of Case,Latitude/Longitude
894681,2143,1433,,N,ALLESANDRO,ST,,90026,02/22/0020,,141A207    68,GENERAL,East Los Angeles,O,"(34.08187, -118.26228)"
896306,2142,3023,,W,6TH,ST,,90020,03/11/0020,,135B197   979,GENERAL,Central,O,"(34.06384, -118.28786)"
899081,2143,960,,N,EDGECLIFFE,DR,,90026,05/22/0020,,142-5A203  79,GENERAL,East Los Angeles,O,"(34.08637, -118.28043)"
899880,2143,1637,,N,SILVER LAKE,BLVD,,90026,06/24/0020,,144A205   253,GENERAL,East Los Angeles,O,"(34.08899, -118.26898)"
900207,2143,119,,N,BELMONT,AVE,,90026,07/10/0020,,135A207   192,GENERAL,Central,O,"(34.06422, -118.26317)"
900543,2142,1130,,N,WESTMORELAND,AVE,,90029,07/26/0020,,144B197   584,GENERAL,Central,O,"(34.09172, -118.28764)"
900757,2142,6721,,W,DE LONGPRE,AVE,,90028,08/21/0020,,147A185   232,GENERAL,Central,O,"(34.09626, -118.33732)"
920564,2143,1830,,N,ALVARADO,ST,,90026,07/02/0021,,144A209   231,GENERAL,East Los Angeles,O,"(34.08757, -118.25718)"
921176,2143,1662,,N,WATERLOO,ST,,90026,07/08/0021,,142-5A207  38,GENERAL,East Los Angeles,O,"(34.0865, -118.26221)"
921419,2143,2306,,W,EFFIE,ST,,90026,07/09/0021,,142-5A207  65,GENERAL,East Los Angeles,O,"(34.08635, -118.26173)"
921759,2142,655,,N,HELIOTROPE,DR,,90004,07/11/0021,,141B197   613,GENERAL,Central,O,"(34.08285, -118.29546)"
922132,2143,1421,,W,2ND,ST,,90026,07/16/0021,,133-5A207  67,GENERAL,Central,O,"(34.06093, -118.26085)"
930178,1203,4702,,S,VERMONT,AVE,,90037,09/03/0021,,111B197   628,CITATIONS,South Los Angeles,O,"(34.00035, -118.29134)"
931109,1131,1451,,S,CLOVERDALE,AVE,,90019,09/11/0021,,129B181  1104,GENERAL,Central,O,"(34.04683, -118.35224)"
930747,3132,16515,,W,INDEX,ST,,91344,09/09/0021,,210B137    74,GENERAL,North Valley,O,"(34.27566, -118.49168)"
930775,8132,644,,W,13TH,ST,,90731,09/09/0021,,015B197  1502,PACE,Harbor,O,"(33.73253, -118.29107)"
930841,8120,1932,,W,WALCOTT,WAY,,90039,09/09/0021,,147A211   300,PACE,East Los Angeles,O,"(34.09662, -118.25051)"
931052,3142,8065,,N,BRIMFIELD,AVE,,91402,09/10/0021,,189B149   140,GENERAL,North Valley,O,"(34.21768, -118.45839)"
930952,1142,505,,W,ELBERON,AVE,,90731,09/10/0021,,021B197   908,GENERAL,Harbor,O,"(33.74975, -118.28859)"
931006,3132,17955,,W,RIDGEWAY,ROAD,,91344,09/10/0021,,216B129   297,GENERAL,North Valley,O,"(34.28659, -118.52542)"
931030,1131,1616,,S,STANLEY,AVE,,90019,09/10/0021,,129B177  1477,GENERAL,Central,O,"(34.04609, -118.36267)"
930874,1143,1060,,N,MCFARLAND,AVE,,90744,09/09/0021,,033B209   701,GENERAL,Harbor,O,"(33.78485, -118.25271)"
930931,3113,18116,,W,RANCHO,ST,,91356,09/09/0021,,168B125   423,GENERAL,South Valley,O,"(34.15658, -118.52876)"
931024,1142,602,,W,UPLAND,AVE,,90731,09/10/0021,,021B197   810,GENERAL,Harbor,O,"(33.75015, -118.29021)"
931053,1100,12139,,W,PICO,BLVD,,90064,09/10/0021,,123B149  1090,GENERAL,West Los Angeles,O,"(34.0291, -118.45117)"
931118,1142,339,,W,6TH,ST,,90731,09/11/0021,,015B201   127,GENERAL,Harbor,O,"(33.73863, -118.28439)"
930957,3102,11215,,W,COVELLO,ST,,91352,09/10/0021,,186B173   362,GENERAL,North Valley,O,"(34.20765, -118.3753)"
931141,3201,10758,,N,MATHER,AVE,,91040,09/12/0021,,208-5A193 398,CITATIONS,North Valley,O,"(34.26499, -118.30955)"
931071,3201,11023,,W,SHERMAN,WAY,,91352,09/11/0021,,183B173   105,CITATIONS,North Valley,O,"(34.20136, -118.37104)"
931177,1124,920,,W,57TH,ST,,90037,09/12/0021,,108B197  1217,GENERAL,South Los Angeles,O,"(33.99039, -118.29005)"
930748,2203,800,,N,EL CENTRO,AVE,,90038,09/09/0021,,141B189   100,CITATIONS,Central,O,"(34.08544, -118.3243)"
931114,3111,5965,,N,NORA LYNN,DR,,91367,09/11/0021,,177B085   372,GENERAL,South Valley,O,"(34.18004, -118.6647)"
930786,8132,676,,W,13TH,ST,,90731,09/09/0021,,015B197  1497,PACE,Harbor,O,"(33.73253, -118.29173)"
931056,3142,12031,,W,CANTARA,ST,,91605,09/10/0021,,192B165   781,GENERAL,North Valley,O,"(34.21946, -118.39577)"
930956,3142,8669,,N,NAGLE,AVE,,91402,09/10/0021,,195B157  1200,GENERAL,North Valley,O,"(34.22707, -118.42352)"
936783,2130,3516,,E,TACOMA,AVE,,90065,10/27/0021,,147A219   139,GENERAL,East Los Angeles,O,"(34.09769, -118.22632)"
931110,3122,13126,,N,FENTON,AVE,,91342,09/11/0021,,222B161    59,GENERAL,North Valley,O,"(34.30859, -118.41937)"
930932,1142,466,,W,21ST,ST,,90731,09/09/0021,,012B201   687,GENERAL,Harbor,O,"(33.72526, -118.2872)"
930961,2121,3033,,E,GANAHL,ST,,90063,09/10/0021,,130-5A227 221,GENERAL,East Los Angeles,O,"(34.05163, -118.19468)"
931181,1113,10976,,S,MCKINLEY,AVE,,90059,09/12/0021,,088-5A209 257,GENERAL,South Los Angeles,O,"(33.93569, -118.26065)"
931117,3143,17650,,W,KITTRIDGE,ST,,91406,09/11/0021,,180B129   490,GENERAL,South Valley,O,"(34.19012, -118.51804)"
930873,1201,3756,,W,SANTA ROSALIA,DR,,90008,09/09/0021,,114B185   457,CITATIONS,South Los Angeles,O,"(34.00913, -118.33916)"
931010,3132,24647,,W,GARDENSTONE,LANE,,91307,09/10/0021,,186B085   145,GENERAL,South Valley,O,"(34.20185, -118.6608)"
937424,4400,5359,,W,ADAMS,BLVD,,90016,10/29/0021,,123B177   926,NAR,South Los Angeles,O,"(34.03265, -118.35992)"
930749,3201,12159,,W,BRANFORD,ST,,91331,09/09/0021,,204B165   399,CITATIONS,North Valley,O,"(34.25237, -118.39794)"
930960,2121,3400,,E,1ST,ST,,90063,09/10/0021,,124-5A227  59,GENERAL,East Los Angeles,O,"(34.03692, -118.19489)"
930933,1142,466,,W,21ST,ST,,90731,09/09/0021,,012B201   687,GENERAL,Harbor,O,"(33.72526, -118.2872)"
931055,1201,312,,W,54TH,ST,,90037,09/10/0021,,108B201   599,CITATIONS,South Los Angeles,O,"(33.99319, -118.27882)"
930955,3123,7252,,W,VERDUGO CRESTLINE,CIR,,91042,09/10/0021,,201A199   204,GENERAL,North Valley,O,"(34.2452, -118.29159)"
931111,3303,8432,,W,FOOTHILL,BLVD,,91040,09/11/0021,,204B189    33,VEIP,North Valley,O,"(34.25953, -118.31708)"
931032,3101,7978,,N,BELLAIRE,AVE,,91605,09/10/0021,,189B161   383,GENERAL,North Valley,O,"(34.21607, -118.41302)"
931027,1201,3811,,S,WESTERN,AVE,,90062,09/10/0021,,117B193   878,CITATIONS,South Los Angeles,O,"(34.01691, -118.30906)"
931143,3111,23126,,W,COLLINS,ST,,91367,09/12/0021,,174B097   375,GENERAL,South Valley,O,"(34.17356, -118.63075)"
931138,2102,733,,S,BRONSON,AVE,,90005,09/11/0021,,132B189   346,GENERAL,Central,O,"(34.0595, -118.31922)"
931116,2112,10747,,W,WILSHIRE,BLVD,,90024,09/11/0021,,132B153   141,GENERAL,West Los Angeles,O,"(34.06076, -118.43765)"
930827,8126,8885,,N,KEWEN,AVE,,91352,09/09/0021,,195B165   391,PACE,North Valley,O,"(34.23058, -118.39375)"
937579,8136,378,,W,6TH,ST,,90731,10/31/0021,,015B201    99,PACE,Harbor,O,"(33.73886, -118.28515)"
931180,3111,6179,,N,PLATT,AVE,,91367,09/12/0021,,177B093   305,GENERAL,South Valley,O,"(34.18316, -118.6433)"
931137,2121,3243,,E,INEZ,ST,,90023,09/11/0021,,123A225   228,GENERAL,East Los Angeles,O,"(34.03102, -118.20134)"
931026,2133,895,,N,WEST KENSINGTON,ROAD,,90026,09/10/0021,,138A209   133,GENERAL,East Los Angeles,O,"(34.07273, -118.25403)"
930962,2143,2146,,W,FARGO,ST,,90039,09/10/0021,,145-5A209 373,GENERAL,East Los Angeles,O,"(34.09113, -118.25706)"
941012,8122,11829,,W,VICTORY,BLVD,,91606,12/01/0021,,180B169  1126,PACE,South Valley,O,"(34.18684, -118.39097)"
931073,3123,6400,,W,LA TUNA CANYON,ROAD,,91042,09/11/0021,,195B205    54,GENERAL,North Valley,O,"(34.23357, -118.2714)"
931184,4105,1023,,N,BERENDO,ST,,90029,09/12/0021,,144B197   890,CNAP,Central,O,"(34.09008, -118.29404)"
931028,3143,15632,,W,SATICOY,ST,,91406,09/10/0021,,186B141   102,GENERAL,South Valley,O,"(34.20815, -118.47393)"
931107,3201,6237,,N,BEEMAN,AVE,,91606,09/11/0021,,177B161   250,CITATIONS,South Valley,O,"(34.1841, -118.40749)"
930911,2203,6667,,W,HOLLYWOOD,BLVD,,90028,09/09/0021,,148-5A185 115,CITATIONS,Central,O,"(34.10173, -118.33536)"
930959,3102,6429,,N,TUJUNGA,AVE,,91606,09/10/0021,,180B173   791,GENERAL,South Valley,O,"(34.18766, -118.37921)"
930852,1203,9326,,S,WESTERN,AVE,,90047,09/09/0021,,094-5A193 347,CITATIONS,South Los Angeles,O,"(33.95132, -118.30881)"
931112,2131,4716,,E,JESSICA,DR,,90065,09/11/0021,,153A221   374,GENERAL,East Los Angeles,O,"(34.11221, -118.21537)"
931144,8132,1035,,W,13TH,ST,,90731,09/12/0021,,012B197    21,PACE,Harbor,O,"(33.73233, -118.29982)"
931009,2121,3210,,E,INEZ,ST,,90023,09/10/0021,,123A225   229,GENERAL,East Los Angeles,O,"(34.03122, -118.20226)"
930954,1103,726,,E,ROSE,AVE,,90291,09/10/0021,,111B145   699,GENERAL,West Los Angeles,O,"(34.00075, -118.46871)"
931051,1203,8927,,S,WESTERN,AVE,,90047,09/10/0021,,096A193   256,CITATIONS,South Los Angeles,O,"(33.95554, -118.30921)"
930934,2103,8501,,W,HEDGES,PL,,90069,09/10/0021,,147B173   502,GENERAL,Central,O,"(34.09655, -118.37722)"
